word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
d@	55324.0	-3.95	18	19	224	1	1	1	1	1727	138	138	138	138	2
zein	30610.0	-3.86	22	27	176	41	9	1	1	282	75	46	6	6	4
@t	28845.0	-4.12	14	14	2	1	1	1	1	581	4	4	4	4	2
van	27399.0	-3.63	44	47	204	29	4	4	4	282	50	2	2	2	3
en	26485.0	-3.43	26	44	102	11	11	11	11	282	29	29	29	29	2
@n	24974.0	-4.91	10	10	2	1	1	1	1	282	3	3	3	3	2
in	19433.0	-3.05	16	27	34	14	14	14	14	282	75	75	75	75	2
dat	14745.0	-4.12	44	46	224	25	1	1	1	581	43	2	2	2	3
t@	12477.0	-3.38	18	20	273	4	4	4	4	1727	176	176	176	176	2
ik	11368.0	-3.68	14	28	34	3	3	3	3	249	43	43	43	43	2
heb@	11207.0	-4.84	10	11	214	51	1	1	1	1727	12	2	1	1	4
hei	11121.0	-3.9	40	42	214	51	6	6	6	121	32	1	1	1	3
op	10867.0	-3.2	20	35	68	8	8	8	8	148	26	26	26	26	2
di	10693.0	-3.26	20	31	224	26	26	26	26	121	6	6	6	6	2
nit	9433.0	-4.09	38	43	92	14	2	2	2	581	48	2	2	2	3
met	9102.0	-3.32	44	52	254	47	8	8	8	581	55	2	2	2	3
word@	7595.0	-4.51	8	9	183	17	8	1	1	1727	138	8	4	1	5
z@	7308.0	-3.57	20	21	176	2	2	2	2	1727	71	71	71	71	2
vor	6935.0	-3.61	34	40	204	25	9	9	9	414	31	2	2	2	3
er	6637.0	-3.5	26	43	102	13	13	13	13	414	22	22	22	22	2
mar	6481.0	-3.32	48	53	254	80	18	18	18	414	41	1	1	1	3
als	6430.0	-4.01	20	26	149	18	1	1	1	333	27	5	5	5	3
an	6330.0	-3.04	24	40	149	22	22	22	22	282	50	50	50	50	2
j@	5266.0	-3.46	16	17	65	2	2	2	2	1727	86	86	86	86	2
z}l@	5237.0	-3.99	14	14	176	7	3	1	1	1727	266	8	1	1	4
om	4962.0	-3.47	22	37	68	6	6	6	6	162	24	24	24	24	2
k}n@	4951.0	-4.35	14	14	602	12	1	1	1	1727	118	4	1	1	4
har	4631.0	-3.4	50	57	214	51	12	12	12	414	41	1	1	1	3
nar	4452.0	-4.1	34	37	92	18	2	2	2	414	41	3	3	3	3
ok	4337.0	-3.68	18	32	68	3	3	3	3	249	28	28	28	28	2
dan	4317.0	-3.84	58	63	224	25	5	5	5	282	50	1	1	1	3
dor	4213.0	-3.63	46	50	224	34	6	6	6	414	31	4	4	4	3
of	4048.0	-3.53	16	25	68	4	4	4	4	110	16	16	16	16	2
bei	3797.0	-3.61	38	46	372	43	10	10	10	121	32	1	1	1	3
zix	3732.0	-4.29	22	23	176	18	2	2	2	81	8	1	1	1	3
nox	3652.0	-4.46	28	29	92	19	1	1	1	81	14	1	1	1	3
wat	3604.0	-3.63	40	47	183	48	5	5	5	581	43	2	2	2	3
lt	3584.0	-3.57	18	34	217	2	2	2	2	581	50	50	50	50	2
xan	3436.0	-4.09	44	47	221	31	2	2	2	282	50	1	1	1	3
hem	3234.0	-3.67	28	32	214	51	4	4	4	162	16	1	1	1	3
zeg@	3194.0	-3.71	30	32	176	41	3	3	3	1727	64	10	1	1	4
kom@	3186.0	-3.68	18	21	602	85	7	2	2	1727	80	9	1	1	4
tot	2996.0	-3.61	46	50	273	37	4	4	4	581	36	2	2	2	3
ov@r	2961.0	-4.3	12	14	68	2	2	1	1	414	228	18	2	2	4
zo	2918.0	-3.36	14	21	176	17	17	17	17	83	3	3	3	3	2
mut@	2911.0	-4.42	20	21	254	10	2	1	1	1727	176	7	1	1	4
mein	2727.0	-4.18	20	23	254	47	6	1	1	282	75	46	3	3	4
zin	2670.0	-3.61	34	38	176	18	5	5	5	282	75	2	2	2	3
zei	2622.0	-3.62	40	46	176	41	9	9	9	121	32	1	1	1	3
dez@	2519.0	-4.17	18	18	224	24	1	1	1	1727	71	9	1	1	4
w@	2470.0	-3.74	16	16	183	1	1	1	1	1727	35	35	35	35	2
xen	2445.0	-3.94	46	51	221	32	4	4	4	282	29	2	2	2	3
al	2385.0	-3.04	30	47	149	18	18	18	18	415	46	46	46	46	2
wel	2288.0	-3.36	50	56	183	55	6	6	6	415	51	3	3	3	3
dit	2233.0	-3.99	44	47	224	26	1	1	1	581	48	2	2	2	3
h}n	2131.0	-4.6	12	12	214	12	2	2	2	282	2	1	1	1	3
mak@	2036.0	-3.62	34	38	254	80	6	2	2	1727	162	25	2	2	4
ons	2001.0	-4.46	0	3	68	4	1	1	1	333	38	7	7	7	3
xut	1965.0	-4.22	16	19	221	4	1	1	1	581	19	1	1	1	3
vel	1943.0	-3.6	42	48	204	40	4	4	4	415	51	1	1	1	3
stan	1885.0	-3.91	22	27	786	177	28	3	3	282	50	8	2	2	4
and@r	1880.0	-4.28	6	7	149	22	2	1	1	414	228	41	14	3	5
tun	1844.0	-3.53	26	28	273	13	2	2	2	282	27	2	2	2	3
wil@	1810.0	-3.99	38	39	183	32	4	1	1	1727	266	24	1	1	4
dun	1682.0	-3.87	36	37	224	11	1	1	1	282	27	1	1	1	3
m@	1672.0	-3.25	20	21	254	5	5	5	5	1727	80	80	80	80	2
war	1644.0	-3.54	36	42	183	48	8	8	8	414	41	3	3	3	3
y	1636.0	-3.74	0	4	3	3	3	3	3	10	10	10	10	10	1
men	1635.0	-3.42	48	54	254	47	5	5	5	282	29	3	3	3	3
mei	1602.0	-3.94	38	44	254	47	6	6	6	121	32	1	1	1	3
lat@	1576.0	-3.97	32	36	217	45	3	1	1	1727	176	13	2	2	4
wet@	1575.0	-3.92	34	38	183	55	2	1	1	1727	176	13	2	2	4
dar	1550.0	-3.81	44	47	224	25	5	5	5	414	41	2	2	2	3
wer	1542.0	-3.68	42	48	183	55	10	10	10	414	22	2	2	2	3
teg@	1412.0	-4.1	28	31	273	59	2	2	2	1727	64	10	1	1	4
denk@	1381.0	-4.69	8	10	224	24	3	1	1	1727	162	25	7	1	5
mens	1370.0	-3.95	14	16	254	47	5	1	1	333	38	7	1	1	4
tox	1352.0	-3.82	34	37	273	37	3	3	3	81	14	2	2	2	3
ny	1344.0	-3.72	10	11	92	2	2	2	2	10	5	5	5	5	2
hel	1318.0	-3.22	50	56	214	51	8	8	8	415	51	1	1	1	3
xev@	1285.0	-4.03	12	14	221	32	2	2	2	1727	64	10	1	1	4
hu	1280.0	-3.44	16	22	214	14	14	14	14	20	2	2	2	2	2
man	1255.0	-3.32	50	55	254	80	12	12	12	282	50	2	2	2	3
na	1254.0	-3.21	24	29	92	18	18	18	18	134	11	11	11	11	2
bleiv@	1247.0	-5.35	4	5	372	61	8	5	1	1727	64	9	6	1	6
xrot	1235.0	-4.27	20	24	221	68	9	1	1	581	36	6	2	2	4
vind@	1218.0	-4.69	10	10	204	23	5	1	1	1727	138	27	6	1	5
keik@	1217.0	-4.56	18	21	602	42	7	2	1	1727	162	32	9	1	5
ond@r	1181.0	-5.08	4	7	68	4	1	1	1	414	228	41	14	5	5
its	1179.0	-4.18	4	12	34	4	2	2	2	333	49	11	11	11	3
jar	1143.0	-4.13	30	31	65	19	2	2	2	414	41	2	2	2	3
wei	1126.0	-3.49	40	49	183	55	14	14	14	121	32	2	2	2	3
hir	1121.0	-4.04	44	44	214	19	1	1	1	414	39	1	1	1	3
hmd@	1097.0	-4.1	8	8	214	5	1	1	1	1727	138	3	1	1	4
kreig@	1084.0	-4.72	6	7	602	79	15	6	1	1727	64	13	10	3	6
teit	1084.0	-4.09	24	26	273	59	7	1	1	581	48	18	2	2	4
zit@	1081.0	-4.56	26	27	176	18	2	1	1	1727	176	26	1	1	4
twe	1036.0	-4.87	2	4	273	10	4	4	4	45	2	1	1	1	3
nem@	1031.0	-4.99	12	12	92	21	1	1	1	1727	80	9	1	1	4
hant	1028.0	-3.9	32	34	214	51	5	1	1	581	95	31	1	1	4
lan	1014.0	-3.58	44	51	217	45	6	6	6	282	50	3	3	3	3
lig@	1003.0	-4.23	18	19	217	42	2	1	1	1727	64	13	2	2	4
hen	989.0	-3.7	54	55	214	51	6	6	6	282	29	1	1	1	3
t}s@	975.0	-4.57	8	8	273	9	1	1	1	1727	107	4	1	1	4
kint	961.0	-4.3	24	27	602	30	3	1	1	581	95	18	1	1	4
dax	935.0	-4.39	30	30	224	25	1	1	1	81	15	1	1	1	3
af	921.0	-3.64	20	28	149	3	3	3	3	110	14	14	14	14	2
vrmw	900.0	-4.4	6	9	204	22	2	2	2	44	22	5	1	1	4
wex	883.0	-4.49	30	31	183	55	1	1	1	81	8	1	1	1	3
zond@r	878.0	-4.92	6	8	176	17	4	2	2	414	228	41	14	5	6
want	863.0	-3.65	30	32	183	48	8	1	1	581	95	31	1	1	4
bren@	862.0	-4.56	6	8	372	59	8	1	1	1727	118	17	4	1	5
lop@	839.0	-3.87	28	32	217	26	2	1	1	1727	105	19	5	5	4
tu	832.0	-3.91	16	19	273	13	13	13	13	20	1	1	1	1	2
ox	820.0	-3.44	12	22	68	4	4	4	4	81	14	14	14	14	2
nojt	805.0	-5.02	2	4	92	19	1	1	1	581	2	2	1	1	4
vrag@	804.0	-5.45	2	3	204	22	3	1	1	1727	64	13	3	1	5
hor@	787.0	-3.6	38	41	214	45	13	1	1	1727	214	15	1	1	4
zelf	787.0	-4.96	4	6	176	41	3	1	1	110	16	2	1	1	4
niw	775.0	-4.48	10	10	92	14	1	1	1	44	2	1	1	1	3
d}s	758.0	-3.72	28	28	224	15	1	1	1	333	19	1	1	1	3
wez@	749.0	-3.73	24	26	183	55	2	2	2	1727	71	9	1	1	4
eig@	745.0	-4.22	10	15	102	16	2	2	2	1727	64	13	10	10	4
lat	740.0	-3.57	44	54	217	45	3	3	3	581	43	5	5	5	3
ev@	724.0	-3.54	10	17	102	3	2	2	2	1727	64	10	10	10	3
wein@x	723.0	-6.18	0	0	183	55	14	2	1	81	3	1	1	1	6
mog@	711.0	-3.95	20	22	254	52	2	1	1	1727	64	7	1	1	4
vul@	690.0	-4.16	24	24	204	7	1	1	1	1727	266	8	1	1	4
ten	685.0	-3.57	52	57	273	59	10	10	10	282	29	2	2	2	3
stets	684.0	-5.72	2	2	786	177	32	1	1	333	49	7	1	1	5
stel@	677.0	-4.08	24	28	786	177	32	4	1	1727	266	17	2	1	5
plats	661.0	-4.79	2	5	370	65	19	4	2	333	49	5	1	1	5
wi	658.0	-3.27	18	28	183	32	32	32	32	121	5	5	5	5	2
vel@	654.0	-4.0	34	36	204	40	4	1	1	1727	266	17	1	1	4
misxin	646.0	-7.79	0	0	254	29	4	1	1	282	75	1	1	1	6
me	641.0	-3.62	34	44	254	47	47	47	47	45	2	2	2	2	2
lev@	631.0	-3.88	26	29	217	51	3	3	3	1727	64	10	2	2	4
hls	630.0	-3.98	28	31	214	8	1	1	1	333	27	1	1	1	3
val@	614.0	-4.0	40	41	204	29	4	1	1	1727	266	20	1	1	4
stat	613.0	-4.27	30	33	786	177	28	3	3	581	43	2	1	1	4
bin@	612.0	-3.92	28	30	372	26	4	1	1	1727	118	37	2	2	4
mud@r	596.0	-4.54	6	7	254	10	2	2	1	414	228	41	4	1	5
enk@l	596.0	-4.92	0	2	102	11	1	1	1	415	204	30	6	2	5
wort	593.0	-3.89	30	32	183	17	8	3	3	581	47	17	1	1	4
sprek@	593.0	-4.69	2	4	786	111	21	6	1	1727	162	19	7	2	6
waner	582.0	-6.07	0	0	183	48	8	1	1	414	22	2	1	1	5
vad@r	576.0	-4.57	6	7	204	29	2	2	1	414	228	41	5	1	5
axt@r	575.0	-4.56	4	5	149	3	3	2	1	414	228	67	6	1	5
t@r}x	573.0	-7.68	0	0	273	4	1	1	1	81	7	3	1	1	5
werk	571.0	-4.13	20	23	183	55	10	2	2	249	19	9	1	1	4
leik@	569.0	-4.33	12	17	217	51	10	2	1	1727	162	32	9	2	5
ver	565.0	-3.65	40	45	204	40	8	8	8	414	22	2	2	2	3
zek@r	562.0	-5.16	6	6	176	41	1	1	1	414	228	26	4	1	5
elk	546.0	-4.22	18	22	102	12	1	1	1	249	26	4	4	4	3
hoft	544.0	-4.53	8	10	214	45	3	1	1	581	13	2	1	1	4
zak	537.0	-3.96	36	39	176	18	2	2	2	249	38	2	2	2	3
vak	531.0	-3.77	36	40	204	29	3	3	3	249	38	2	2	2	3
ext@r	523.0	-4.42	2	3	102	4	2	1	1	414	228	67	6	2	5
volg@	513.0	-5.38	0	0	204	25	5	1	1	1727	64	7	1	1	5
jei	510.0	-5.04	28	30	65	10	1	1	1	121	32	1	1	1	3
ken@	508.0	-4.37	26	27	602	42	2	2	2	1727	118	17	1	1	4
klein	508.0	-4.3	2	6	602	103	16	2	1	282	75	46	7	1	5
zer	505.0	-4.0	46	51	176	41	4	4	4	414	22	1	1	1	3
dri	500.0	-3.87	4	5	224	50	6	6	6	121	19	1	1	1	3
par	491.0	-3.22	46	53	370	74	19	19	19	414	41	2	2	2	3
id@r	490.0	-4.04	4	6	34	4	1	1	1	414	228	41	3	3	4
mt	489.0	-3.57	20	34	254	2	2	2	2	581	15	15	15	15	2
vrax	476.0	-5.0	10	12	204	22	3	2	2	81	15	5	1	1	4
trek@	475.0	-4.24	14	18	273	56	12	2	1	1727	162	19	7	2	5
net	462.0	-3.63	42	47	92	21	3	3	3	581	55	5	5	5	3
bleik@	462.0	-5.06	4	8	372	61	8	5	2	1727	162	32	9	2	6
wer@lt	454.0	-7.63	0	0	183	55	10	2	1	581	50	1	1	1	6
soms	454.0	-5.34	0	2	786	32	4	1	1	333	6	1	1	1	4
ker	454.0	-3.51	46	52	602	42	13	13	13	414	22	2	2	2	3
bov@	446.0	-4.13	26	27	372	55	1	1	1	1727	64	10	1	1	4
blt@	445.0	-4.16	18	21	372	61	3	2	2	1727	176	13	1	1	4
hart	435.0	-3.72	30	33	214	51	12	1	1	581	47	16	1	1	4
num@	433.0	-4.94	10	10	92	4	1	1	1	1727	80	4	1	1	4
leg@	430.0	-3.66	32	34	217	51	6	3	3	1727	64	10	2	2	4
leid@	428.0	-4.21	18	20	217	51	10	1	1	1727	138	23	16	3	5
yr	425.0	-4.04	8	19	3	1	1	1	1	414	18	18	18	18	2
sxreiv@	424.0	-5.45	6	6	786	166	29	9	5	1727	64	9	6	3	7
lant	422.0	-3.78	30	35	217	45	6	2	2	581	95	31	4	4	4
erx	420.0	-4.43	6	9	102	13	1	1	1	81	6	4	4	4	3
prober@	420.0	-6.66	0	0	370	63	17	2	1	1727	214	23	1	1	7
nam	420.0	-4.69	22	25	92	18	2	2	2	162	23	1	1	1	3
hal@	419.0	-3.79	48	49	214	51	6	1	1	1727	266	20	1	1	4
zet@	417.0	-3.98	28	33	176	41	4	3	3	1727	176	13	1	1	4
sort	407.0	-4.4	24	29	786	32	3	2	2	581	47	17	1	1	4
werk@	403.0	-4.59	10	13	183	55	10	2	1	1727	162	8	3	1	5
hox	402.0	-4.05	42	43	214	45	1	1	1	81	14	1	1	1	3
vol	402.0	-3.6	40	42	204	25	5	5	5	415	28	1	1	1	3
jlst	399.0	-5.32	4	4	65	2	1	1	1	581	74	5	1	1	4
welk	397.0	-4.53	16	19	183	55	6	1	1	249	26	4	1	1	4
lixt	396.0	-4.06	20	23	217	42	3	2	2	581	46	9	2	2	4
sterk	390.0	-4.45	2	5	786	177	32	5	2	249	19	9	1	1	5
dot	388.0	-3.91	54	55	224	34	1	1	1	581	36	1	1	1	3
del	388.0	-3.59	46	49	224	24	3	3	3	415	51	4	4	4	3
ext	388.0	-3.55	10	13	102	4	2	2	2	581	46	7	7	7	3
spel@	387.0	-3.94	16	19	786	111	25	5	1	1727	266	17	2	1	5
buk	387.0	-3.62	28	30	372	18	3	3	3	249	10	1	1	1	3
snel	385.0	-4.03	14	18	786	43	10	2	2	415	51	6	1	1	4
d|r	376.0	-4.08	18	18	224	5	1	1	1	414	13	1	1	1	3
manir	375.0	-5.6	2	2	254	80	12	1	1	414	39	6	2	1	5
din	371.0	-3.78	46	49	224	26	3	3	3	282	75	2	2	2	3
kam@r	365.0	-4.22	12	15	602	135	15	4	3	414	228	12	3	1	5
wat@r	364.0	-4.46	10	12	183	48	5	3	2	414	228	67	8	1	5
rup@	357.0	-4.21	18	19	230	18	2	1	1	1727	105	4	1	1	4
kort	356.0	-3.56	32	39	602	85	16	3	3	581	47	17	2	2	4
moj	355.0	-4.22	28	28	254	52	1	1	1	29	11	1	1	1	3
feit	354.0	-4.81	22	23	139	11	3	1	1	581	48	18	1	1	4
jon	354.0	-3.61	32	33	65	12	2	2	2	282	67	12	12	12	3
xront	353.0	-4.49	4	6	221	68	9	2	1	581	95	17	4	1	5
slan	351.0	-4.16	14	18	786	69	12	2	2	282	50	3	1	1	4
waxt@	350.0	-4.42	2	5	183	48	2	2	1	1727	176	24	6	1	5
ler@	347.0	-4.22	32	35	217	51	2	1	1	1727	214	23	2	2	4
prat@	344.0	-4.63	8	9	370	63	10	2	1	1727	176	13	2	1	5
lans	343.0	-4.28	22	24	217	45	6	1	1	333	38	11	3	3	4
op@	341.0	-3.39	10	18	68	8	3	3	3	1727	105	19	19	19	3
problem	340.0	-7.9	0	0	370	63	17	2	1	162	16	5	2	1	7
red@	339.0	-3.88	26	29	230	50	1	1	1	1727	138	14	4	4	4
beid@	339.0	-4.27	16	19	372	43	10	1	1	1727	138	23	16	2	5
vorm	333.0	-4.66	10	12	204	25	9	2	2	162	16	5	1	1	4
vast	332.0	-4.51	22	25	204	29	3	2	2	581	74	10	1	1	4
zuk@	329.0	-4.23	16	17	176	10	2	1	1	1727	162	4	1	1	4
wit	326.0	-3.69	42	50	183	32	2	2	2	581	48	2	2	2	3
xrup	323.0	-4.26	16	17	221	68	8	1	1	148	10	3	1	1	4
x@won	319.0	-5.37	0	0	221	6	1	1	1	282	67	1	1	1	5
vrux	311.0	-5.18	4	5	204	22	1	1	1	81	5	2	1	1	4
sam@	308.0	-3.84	14	18	786	41	5	1	1	1727	80	17	2	2	4
stem	307.0	-4.02	16	18	786	177	32	4	4	162	16	2	2	2	4
bet	305.0	-3.85	44	53	372	43	2	2	2	581	55	1	1	1	3
lez@	303.0	-4.09	26	26	217	51	1	1	1	1727	71	9	2	2	4
lax@	301.0	-5.1	18	19	217	45	2	1	1	1727	7	1	1	1	4
moment	298.0	-6.33	0	0	254	52	3	1	1	581	95	20	10	1	6
wek	294.0	-3.85	46	53	183	55	2	2	2	249	26	2	2	2	3
kant	293.0	-3.24	34	39	602	135	22	7	7	581	95	31	2	2	4
lixam	292.0	-6.64	0	0	217	42	3	1	1	162	23	1	1	1	5
vrint	286.0	-5.35	2	2	204	22	2	1	1	581	95	18	4	1	5
avont	284.0	-5.87	0	0	149	5	2	2	2	581	95	17	1	1	5
st}k	283.0	-4.36	14	15	786	177	9	1	1	249	11	2	1	1	4
pas	282.0	-3.43	48	55	370	74	5	5	5	333	38	2	2	2	3
drag@	282.0	-4.85	12	13	224	50	12	1	1	1727	64	13	3	1	5
xelt	280.0	-4.51	14	16	221	32	3	1	1	581	50	8	1	1	4
dip	279.0	-4.1	30	33	224	26	2	2	2	148	23	1	1	1	3
rets	278.0	-4.4	14	18	230	50	2	1	1	333	49	7	1	1	4
han@	277.0	-4.27	30	31	214	51	5	1	1	1727	118	15	1	1	4
help@	277.0	-4.98	0	1	214	51	8	1	1	1727	105	9	2	1	5
rext	275.0	-4.14	4	8	230	50	3	3	3	581	46	7	1	1	4
vorm@	273.0	-4.9	2	3	204	25	9	2	1	1727	80	10	2	1	5
din@	271.0	-4.12	24	29	224	26	3	1	1	1727	118	37	2	2	4
ban	269.0	-3.57	44	50	372	71	8	8	8	282	50	1	1	1	3
lit	267.0	-3.6	42	50	217	42	2	2	2	581	48	4	4	4	3
ront	266.0	-3.95	20	23	230	37	4	1	1	581	95	17	4	4	4
naxt	266.0	-4.74	18	20	92	18	1	1	1	581	46	17	1	1	4
arm	266.0	-4.02	10	15	149	27	3	3	3	162	16	5	5	5	3
xrax	265.0	-4.27	20	22	221	68	16	2	2	81	15	5	2	2	4
per	264.0	-3.65	48	53	370	51	9	9	9	414	22	2	2	2	3
j}li	260.0	-7.1	0	0	65	5	1	1	1	121	11	1	1	1	4
stek@	256.0	-4.18	18	22	786	177	32	2	1	1727	162	19	2	1	5
vrei	255.0	-4.22	8	10	204	22	9	2	2	121	32	10	1	1	4
zit	255.0	-4.16	46	51	176	18	2	2	2	581	48	1	1	1	3
lax	253.0	-3.76	26	32	217	45	2	2	2	81	15	5	5	5	3
half	250.0	-4.54	12	14	214	51	6	1	1	110	16	5	1	1	4
mant	250.0	-3.53	32	34	254	80	12	2	2	581	95	31	2	2	4
weiz@	250.0	-4.39	8	9	183	55	14	1	1	1727	71	11	4	1	5
taf@l	247.0	-4.68	6	7	273	42	3	3	2	415	204	10	3	1	5
sxol	244.0	-3.79	22	24	786	166	22	2	2	415	28	1	1	1	4
vir	243.0	-3.51	42	44	204	23	3	3	3	414	39	3	3	3	3
huv@	241.0	-4.09	12	12	214	14	1	1	1	1727	64	7	1	1	4
zon	235.0	-3.39	38	40	176	17	4	4	4	282	67	4	4	4	3
draj@	232.0	-4.6	12	13	224	50	12	2	1	1727	86	13	3	1	5
zwar	232.0	-4.02	12	14	176	46	16	3	3	414	41	3	1	1	4
sxein@	231.0	-4.38	4	7	786	166	34	7	2	1727	118	37	6	1	6
wein	230.0	-3.73	26	29	183	55	14	2	2	282	75	46	2	2	4
ew	229.0	-3.91	18	22	102	1	1	1	1	44	7	7	7	7	2
mont	228.0	-3.82	24	25	254	52	8	3	3	581	95	17	1	1	4
mid@l	227.0	-4.55	2	4	254	29	3	3	2	415	204	19	2	1	5
vut	225.0	-4.04	20	22	204	7	1	1	1	581	19	1	1	1	3
bid@	223.0	-3.92	14	16	372	26	1	1	1	1727	138	23	1	1	4
rak@	222.0	-3.64	36	42	230	52	5	3	3	1727	162	25	5	5	4
merk@	221.0	-4.69	4	6	254	47	8	2	1	1727	162	8	3	1	5
her	218.0	-3.66	48	50	214	51	9	9	9	414	22	1	1	1	3
ide	218.0	-5.28	0	1	34	4	1	1	1	45	3	2	2	2	3
kraxt	214.0	-4.24	12	14	602	79	19	2	1	581	46	17	5	1	5
won@	213.0	-4.28	18	19	183	17	4	1	1	1727	118	9	1	1	4
donk@r	212.0	-5.39	2	3	224	34	6	2	2	414	228	26	5	1	6
rol	210.0	-3.95	46	51	230	37	2	2	2	415	28	5	5	5	3
p}nt	209.0	-4.45	12	13	370	16	2	1	1	581	95	4	1	1	4
jm	209.0	-3.95	14	15	65	3	3	3	3	162	1	1	1	1	2
ojt	209.0	-4.59	4	5	68	2	1	1	1	581	2	2	2	2	3
dixt	208.0	-4.25	12	14	224	26	2	2	2	581	46	9	1	1	4
mto	208.0	-5.64	0	1	254	2	1	1	1	83	12	1	1	1	3
maxt	207.0	-3.86	16	19	254	80	2	1	1	581	46	17	1	1	4
slap@	206.0	-4.57	20	22	786	69	12	2	1	1727	105	18	4	1	5
kerk	205.0	-3.96	24	27	602	42	13	2	2	249	19	9	1	1	4
blik	204.0	-4.14	10	14	372	61	9	6	6	249	43	6	1	1	4
tak	203.0	-3.57	42	47	273	42	6	6	6	249	38	2	2	2	3
reid@	203.0	-4.12	28	29	230	50	17	1	1	1727	138	23	16	4	5
kans	202.0	-3.73	14	17	602	135	22	2	2	333	38	11	1	1	4
plan	201.0	-4.0	10	15	370	65	19	5	5	282	50	3	1	1	4
brif	200.0	-4.44	10	12	372	59	9	1	1	110	17	3	1	1	4
xest	198.0	-4.46	32	33	221	32	5	1	1	581	74	13	1	1	4
xeld@	198.0	-4.55	6	7	221	32	3	1	1	1727	138	11	6	2	5
sllt@	197.0	-4.67	10	10	786	69	8	1	1	1727	176	13	2	1	5
morg@	197.0	-4.61	6	8	254	52	10	1	1	1727	64	6	2	1	5
belt	197.0	-4.31	22	26	372	43	3	1	1	581	50	8	1	1	4
rixt@	196.0	-5.21	8	9	230	26	2	1	1	1727	176	24	6	1	5
strat	195.0	-4.49	12	14	786	177	50	11	1	581	43	11	1	1	5
p@rson	195.0	-9.59	0	0	370	2	1	1	1	282	67	6	1	1	6
zaxt	195.0	-4.08	18	21	176	18	2	1	1	581	46	17	1	1	4
orlox	195.0	-7.7	0	0	68	18	1	1	1	81	14	2	1	1	5
et@	195.0	-3.55	12	25	102	11	3	3	3	1727	176	13	13	13	3
tin	194.0	-3.54	36	39	273	23	6	6	6	282	75	2	2	2	3
zwart	192.0	-4.34	2	5	176	46	16	3	2	581	47	16	3	1	5
los	192.0	-3.85	44	49	217	26	2	2	2	333	22	4	4	4	3
sxmd@r	191.0	-4.83	0	0	786	166	4	1	1	414	228	41	1	1	6
llst@r@	191.0	-5.81	0	3	217	10	3	2	2	1727	214	109	35	11	7
men@	191.0	-3.51	32	33	254	47	5	1	1	1727	118	17	2	2	4
klink@	191.0	-4.55	4	6	602	103	18	5	2	1727	162	25	9	3	6
vija	189.0	-3.94	4	4	204	23	4	1	1	134	23	19	3	3	4
bez@x	188.0	-5.45	2	2	372	43	3	3	1	81	3	1	1	1	5
dir	188.0	-4.32	48	49	224	26	1	1	1	414	39	1	1	1	3
slext	188.0	-4.56	6	8	786	69	11	2	2	581	46	7	2	1	5
ben	188.0	-3.88	46	49	372	43	5	5	5	282	29	1	1	1	3
wet	187.0	-3.37	44	51	183	55	2	2	2	581	55	4	4	4	3
het@	184.0	-4.12	26	29	214	51	2	1	1	1727	176	13	1	1	4
veif	184.0	-4.39	12	13	204	40	10	1	1	110	17	7	1	1	4
l}xt	183.0	-3.88	8	11	217	15	2	2	2	581	46	6	3	3	4
tal	182.0	-3.64	44	48	273	42	4	4	4	415	46	6	6	6	3
rot	180.0	-3.72	52	58	230	37	4	4	4	581	36	6	6	6	3
r}x	180.0	-4.05	18	19	230	14	1	1	1	81	7	3	3	3	3
zorg@	180.0	-5.5	2	3	176	17	2	1	1	1727	64	6	2	1	5
kiz@	178.0	-4.19	12	13	602	30	1	1	1	1727	71	11	1	1	4
anst	177.0	-5.03	0	0	149	22	2	1	1	581	74	3	1	1	4
ram	176.0	-3.7	42	49	230	52	5	5	5	162	23	8	8	8	3
ton	174.0	-3.46	44	47	273	37	5	5	5	282	67	8	8	8	3
rat	174.0	-3.49	50	59	230	52	5	5	5	581	43	11	11	11	3
minyt	174.0	-6.06	0	0	254	29	9	1	1	581	5	1	1	1	5
pak@	169.0	-3.78	40	43	370	74	4	1	1	1727	162	25	1	1	4
dr}k	168.0	-4.05	12	14	224	50	6	2	2	249	11	4	1	1	4
hont	168.0	-3.92	26	28	214	45	8	1	1	581	95	17	1	1	4
r@latsi	167.0	-10.02	0	0	230	5	1	1	1	121	12	5	1	1	7
vur@	167.0	-4.12	24	26	204	7	2	1	1	1727	214	8	1	1	4
stil	166.0	-3.9	18	21	786	177	13	3	3	415	43	5	2	2	4
sistem	165.0	-6.74	0	0	786	34	2	1	1	162	16	2	2	1	6
knik@	165.0	-4.19	18	20	602	52	9	2	1	1727	162	32	2	1	5
part	165.0	-3.53	26	29	370	74	19	3	3	581	47	16	2	2	4
dul	165.0	-3.9	24	25	224	11	2	2	2	415	9	1	1	1	3
kop@	164.0	-3.49	28	34	602	85	8	4	4	1727	105	19	1	1	4
drink@	160.0	-5.14	2	3	224	50	6	2	1	1727	162	25	9	1	6
bom	160.0	-3.98	40	43	372	55	2	2	2	162	24	1	1	1	3
kontakt	160.0	-7.19	0	0	602	85	15	4	1	581	11	5	2	1	7
ord@	159.0	-4.11	2	7	68	18	3	3	3	1727	138	8	4	4	4
warm	158.0	-4.52	16	19	183	48	8	2	2	162	16	5	1	1	4
ward@	158.0	-4.73	8	11	183	48	8	1	1	1727	138	8	4	1	5
